time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-23 00:00:00+00:00,57,21,0,0
2026-04-24 00:00:00+00:00,93,30,0,0
2026-04-25 00:00:00+00:00,42,20,0,0
2026-04-26 00:00:00+00:00,33,9,0,0
2026-04-27 00:00:00+00:00,14,5,0,0
2026-04-28 00:00:00+00:00,15,6,0,0
2026-04-29 00:00:00+00:00,7,2,0,0
2026-04-30 00:00:00+00:00,39,9,0,0
2026-05-01 00:00:00+00:00,19,5,0,0
2026-05-02 00:00:00+00:00,33,10,0,0
2026-05-03 00:00:00+00:00,14,6,0,0
2026-05-04 00:00:00+00:00,2,2,0,0
2026-05-05 00:00:00+00:00,28,9,0,0
2026-05-06 00:00:00+00:00,12,4,0,0
